"date","movie","rank","rating","imdb.id"
2013-03-03,"Silver Linings Playbook",1,7.4,"tt1045658"
2013-03-03,"The Hobbit an Unexpected Journey",2,8.2,"tt0903624"
2013-03-03,"Life of Pi",3,8.3,"tt0454876"
2013-03-03,"Argo",4,8.2,"tt1024648"
2013-03-03,"Identity Thief",5,8.2,"tt2024432"
2013-03-03,"Red Dawn",6,5.3,"tt1234719"
2013-03-03,"Rise of the Guardians",7,7.5,"tt1446192"
2013-03-03,"Django Unchained",8,8.8,"tt1853728"
2013-03-03,"Lincoln",9,8.2,"tt0443272"
2013-03-03,"Zero Dark Thirty",10,7.6,"tt1790885"
2013-03-10,"Jack Reacher",1,7.2,"tt0790724"
2013-03-10,"The Hobbit an Unexpected Journey",2,8.2,"tt0903624"
2013-03-10,"This is 40",3,6.3,"tt1758830"
2013-03-10,"Les Miserables",4,7.9,"tt1707386"
2013-03-10,"Identity Thief",5,8.2,"tt2024432"
2013-03-10,"Silver Linings Playbook",6,7.4,"tt1045658"
2013-03-10,"Java Heat",7,NA,"tt2083231"
2013-03-10,"Lincoln",8,8.2,"tt0443272"
2013-03-10,"Argo",9,8.2,"tt1024648"
2013-03-10,"Red Dawn",10,5.3,"tt1234719"
2013-03-17,"Oz the Great and Powerful",1,7,"tt1623205"
2013-03-17,"Parental Guidance",2,5.8,"tt1047540"
2013-03-17,"Jack Reacher",3,7.2,"tt0790724"
2013-03-17,"The Hobbit an Unexpected Journey",4,8.2,"tt0903624"
2013-03-17,"Identity Thief",5,8.2,"tt2024432"
2013-03-17,"The Last Stand",6,7,"tt1549920"
2013-03-17,"Silver Linings Playbook",7,7.4,"tt1045658"
2013-03-17,"Stand Off",8,4.8,"tt1545328"
2013-03-17,"This is 40",9,6.3,"tt1758830"
2013-03-17,"Argo",10,8.2,"tt1024648"
2013-03-24,"The Hobbit an Unexpected Journey",1,8.2,"tt0903624"
2013-03-24,"Oz the Great and Powerful",2,7,"tt1623205"
2013-03-24,"Broken City",3,6.1,"tt1235522"
2013-03-24,"The Wicked",4,9.3,"tt1986994"
2013-03-24,"Parental Guidance",5,5.8,"tt1047540"
2013-03-24,"Identity Thief",6,8.2,"tt2024432"
2013-03-24,"Silver Linings Playbook",7,7.4,"tt1045658"
2013-03-24,"Jack Reacher",8,7.2,"tt0790724"
2013-03-24,"Scavengers",9,3.7,"tt1564369"
2013-03-24,"Zero Dark Thirty",10,7.6,"tt1790885"
2013-03-31,"Django Unchained",1,8.6,"tt1853728"
2013-03-31,"The Hobbit an Unexpected Journey",2,8.2,"tt0903624"
2013-03-31,"G.I. Joe Retaliation",3,6.5,"tt1583421"
2013-03-31,"Oz the Great and Powerful",4,7,"tt1623205"
2013-03-31,"Identity Thief",5,5.7,"tt2024432"
2013-03-31,"Silver Linings Playbook",6,7.4,"tt1045658"
2013-03-31,"Welcome to the punch",7,6.5,"tt1684233"
2013-03-31,"The Wicked",8,9.3,"tt1986994"
2013-03-31,"Himmatwala",9,2.3,"tt1564369"
2013-03-31,"Broken City",10,6.1,"tt1235522"
2013-04-07,"Gangster Squad",1,6.9,"tt1321870"
2013-04-07,"G.I. Joe Retaliation",2,6.5,"tt1583421"
2013-04-07,"Django Unchained",3,8.6,"tt1853728"
2013-04-07,"Identity Thief",4,5.7,"tt2024432"
2013-04-07,"Welcome to the punch",5,6.5,"tt1684233"
2013-04-07,"Sexy Evil Genius",6,NA,"tt1321870"
2013-04-07,"The Hobbit an Unexpected Journey",7,8.2,"tt0903624"
2013-04-07,"Iron Man Rise of Technovore",8,NA,"tt2654124"
2013-04-07,"Silver Linings Playbook",9,7.4,"tt1045658"
2013-04-07,"Oz the Great and Powerful",10,7,"tt1623205"
2013-04-14,"Gangster Squad",1,6.9,"tt1321870"
2013-04-14,"A Haunted House",2,4.9,"tt2243537"
2013-04-14,"Broken City",3,6.1,"tt1235522"
2013-04-14,"G.I. Joe Retaliation",4,6.5,"tt1583421"
2013-04-14,"Sexy Evil Genius",5,5.2,"tt1321870"
2013-04-14,"Identity Thief",6,5.7,"tt2024432"
2013-04-14,"Django Unchained",7,8.6,"tt1853728"
2013-04-14,"The Company You Keep",8,6.3,"tt1381404"
2013-04-14,"The Number Station",9,5.8,"tt1659338"
2013-04-14,"The Hobbit an Unexpected Journey",10,8.2,"tt0903624"
2013-04-21,"Jack Reacher",1,7,"tt0790724"
2013-04-21,"The Host",2,5.9,"tt1517260"
2013-04-21,"Gangster Squad",3,6.9,"tt1321870"
2013-04-21,"A Haunted House",4,4.9,"tt2243537"
2013-04-21,"The Guilt Trip",5,5.6,"tt1694020"
2013-04-21,"Mama",6,6.4,"tt2023587"
2013-04-21,"G.I. Joe Retaliation",7,6.5,"tt1583421"
2013-04-21,"The Company You Keep",8,6.3,"tt1381404"
2013-04-21,"Django Unchained",9,8.6,"tt1853728"
2013-04-21,"Broken City",10,6.1,"tt1235522"
2013-04-28,"Jack Reacher",1,7,"tt0790724"
2013-04-28,"The Last Stand",2,6.7,"tt1549920"
2013-04-28,"Iron Man 3",3,8,"tt1300854"
2013-04-28,"21 and Over",4,5.7,"tt1711425"
2013-04-28,"The Host",5,5.9,"tt1517260"
2013-04-28,"Movie 43",6,4.4,"tt1333125"
2013-04-28,"Gangster Squad",7,6.9,"tt1321870"
2013-04-28,"Mama",8,6.4,"tt2023587"
2013-04-28,"A Haunted House",9,4.9,"tt2243537"
2013-04-28,"G.I. Joe Retaliation",10,6.5,"tt1583421"
2013-05-05,"Parker",1,6.2,"tt1904996"
2013-05-05,"Iron Man 3",2,8,"tt1300854"
2013-05-05,"The Place Beyond the Pines",3,7.8,"tt1817273"
2013-05-05,"Jack Reacher",4,7,"tt0790724"
2013-05-05,"21 and Over",5,5.7,"tt1711425"
2013-05-05,"Hansel & Gretel Witch Hunters",6,6.3,"tt1428538"
2013-05-05,"The Last Stand",7,6.7,"tt1549920"
2013-05-05,"Gangster Squad",8,6.9,"tt1321870"
2013-05-05,"The Host",9,5.9,"tt1517260"
2013-05-05,"Shootout at Wadala",10,6.4,"tt2301155"
2013-05-12,"Hansel & Gretel Witch Hunters",1,6.3,"tt1428538"
2013-05-12,"Iron Man 3",2,8,"tt1300854"
2013-05-12,"Parker",3,6.2,"tt1904996"
2013-05-12,"Assault on Wall Street",4,6,"tt2368553"
2013-05-12,"Dark Skies",5,6.1,"tt2387433"
2013-05-12,"The Place Beyond the Pines",6,7.8,"tt1817273"
2013-05-12,"I Give it a Year",7,6.1,"tt2244901"
2013-05-12,"Jack Reacher",8,7,"tt0790724"
2013-05-12,"Escape From Planet Earth",9,5.3,"tt0765446"
2013-05-12,"21 and Over",10,5.7,"tt1711425"
2013-05-19,"Iron Man 3",1,8,"tt1300854"
