"Title","imdb.id","date","movie","rank","rating","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","Type","tomatoMeter","tomatoImage","tomatoRating","tomatoReviews","tomatoFresh","tomatoRotten","tomatoConsensus","tomatoUserMeter","tomatoUserRating","tomatoUserReviews","DVD","BoxOffice","Production","Website","Response","short.title","freq","weeks.past"
"12 Years a Slave","tt2024544",2014-01-19,"12 Years a Slave",7,8.6,"2013","R",2013-11-08,134,"Biography, Drama, History","Steve McQueen","John Ridley (screenplay), Solomon Northup (based on ""Twelve Years a Slave"" by)","Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","English","USA, UK","Won 3 Oscars. Another 204 wins & 192 nominations.","http://ia.media-imdb.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_SX300.jpg",97,8.2,236225,"movie",NA,"N/A",NA,NA,NA,NA,"N/A",NA,NA,NA,2014-03-04,NA,"N/A","N/A","True","12YearsaSlave","9",3
"12 Years a Slave","tt2024544",2014-02-23,"12 Years a Slave",1,8.4,"2013","R",2013-11-08,134,"Biography, Drama, History","Steve McQueen","John Ridley (screenplay), Solomon Northup (based on ""Twelve Years a Slave"" by)","Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","English","USA, UK","Won 3 Oscars. Another 204 wins & 192 nominations.","http://ia.media-imdb.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_SX300.jpg",97,8.2,236225,"movie",NA,"N/A",NA,NA,NA,NA,"N/A",NA,NA,NA,2014-03-04,NA,"N/A","N/A","True","12YearsaSlave","9",3
"12 Years a Slave","tt2024544",2014-03-16,"12 Years a Slave",3,8.4,"2013","R",2013-11-08,134,"Biography, Drama, History","Steve McQueen","John Ridley (screenplay), Solomon Northup (based on ""Twelve Years a Slave"" by)","Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","English","USA, UK","Won 3 Oscars. Another 204 wins & 192 nominations.","http://ia.media-imdb.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_SX300.jpg",97,8.2,236225,"movie",NA,"N/A",NA,NA,NA,NA,"N/A",NA,NA,NA,2014-03-04,NA,"N/A","N/A","True","12YearsaSlave","9",3
"12 Years a Slave","tt2024544",2014-03-02,"12 Years a Slave",3,8.4,"2013","R",2013-11-08,134,"Biography, Drama, History","Steve McQueen","John Ridley (screenplay), Solomon Northup (based on ""Twelve Years a Slave"" by)","Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","English","USA, UK","Won 3 Oscars. Another 204 wins & 192 nominations.","http://ia.media-imdb.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_SX300.jpg",97,8.2,236225,"movie",NA,"N/A",NA,NA,NA,NA,"N/A",NA,NA,NA,2014-03-04,NA,"N/A","N/A","True","12YearsaSlave","9",3
"12 Years a Slave","tt2024544",2014-01-26,"12 Years a Slave",10,8.6,"2013","R",2013-11-08,134,"Biography, Drama, History","Steve McQueen","John Ridley (screenplay), Solomon Northup (based on ""Twelve Years a Slave"" by)","Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","English","USA, UK","Won 3 Oscars. Another 204 wins & 192 nominations.","http://ia.media-imdb.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_SX300.jpg",97,8.2,236225,"movie",NA,"N/A",NA,NA,NA,NA,"N/A",NA,NA,NA,2014-03-04,NA,"N/A","N/A","True","12YearsaSlave","9",3
"12 Years a Slave","tt2024544",2014-03-09,"12 Years a Slave",1,8.4,"2013","R",2013-11-08,134,"Biography, Drama, History","Steve McQueen","John Ridley (screenplay), Solomon Northup (based on ""Twelve Years a Slave"" by)","Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","English","USA, UK","Won 3 Oscars. Another 204 wins & 192 nominations.","http://ia.media-imdb.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_SX300.jpg",97,8.2,236225,"movie",NA,"N/A",NA,NA,NA,NA,"N/A",NA,NA,NA,2014-03-04,NA,"N/A","N/A","True","12YearsaSlave","9",3
"12 Years a Slave","tt2024544",2014-03-23,"12 Years a Slave",7,8.4,"2013","R",2013-11-08,134,"Biography, Drama, History","Steve McQueen","John Ridley (screenplay), Solomon Northup (based on ""Twelve Years a Slave"" by)","Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","English","USA, UK","Won 3 Oscars. Another 204 wins & 192 nominations.","http://ia.media-imdb.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_SX300.jpg",97,8.2,236225,"movie",NA,"N/A",NA,NA,NA,NA,"N/A",NA,NA,NA,2014-03-04,NA,"N/A","N/A","True","12YearsaSlave","9",3
"12 Years a Slave","tt2024544",2014-01-05,"12 Years a Slave",5,8.6,"2013","R",2013-11-08,134,"Biography, Drama, History","Steve McQueen","John Ridley (screenplay), Solomon Northup (based on ""Twelve Years a Slave"" by)","Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","English","USA, UK","Won 3 Oscars. Another 204 wins & 192 nominations.","http://ia.media-imdb.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_SX300.jpg",97,8.2,236225,"movie",NA,"N/A",NA,NA,NA,NA,"N/A",NA,NA,NA,2014-03-04,NA,"N/A","N/A","True","12YearsaSlave","9",3
"12 Years a Slave","tt2024544",2014-01-12,"12 Years a Slave",10,8.6,"2013","R",2013-11-08,134,"Biography, Drama, History","Steve McQueen","John Ridley (screenplay), Solomon Northup (based on ""Twelve Years a Slave"" by)","Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","English","USA, UK","Won 3 Oscars. Another 204 wins & 192 nominations.","http://ia.media-imdb.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_SX300.jpg",97,8.2,236225,"movie",NA,"N/A",NA,NA,NA,NA,"N/A",NA,NA,NA,2014-03-04,NA,"N/A","N/A","True","12YearsaSlave","9",3
"13 Sins","tt2059171",2014-06-01,"13 Sins",10,6.2,"2014","R",2014-04-11,93,"Horror, Thriller","Daniel Stamm","David Birke (screenplay), Daniel Stamm (screenplay), Chookiat Sakveerakul (source Material: ""13: Game of Death"" by), Eakasit Thairatana (source material: ""13: Game of Death"" by)","Mark Webber, Devon Graye, Tom Bower, Rutina Wesley","A cryptic phone call sets off a dangerous game of risks for Elliot, a down-on-his luck salesman. The game promises increasing rewards for completing 13 tasks, each more sinister than the last.","English","USA","N/A","http://ia.media-imdb.com/images/M/MV5BNzA0NDIwNjI3OF5BMl5BanBnXkFtZTgwMDMzNzE0MTE@._V1_SX300.jpg",44,6.2,9189,"movie",59,"rotten",5.7,37,22,15,"N/A",46,3.1,2095,2014-06-16,NA,"Radius-TWC","http://radiustwc.com/releases/13-sins/","True","13 Sins","1",0
